agence_cat,ark_bnf,authnumber,type_autorite,type_entite,za001,za100,za152,za2XX,za801
BnF,BnF,4297,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4321,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4341,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4362,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4384,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4406,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4427,nom_geographique,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4450,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4471,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4495,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4516,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4542,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4564,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4584,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4604,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4625,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4648,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4669,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4689,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,4710,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4731,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4753,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4776,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4798,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,4818,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
