agence_cat,biblionumber,bloc_indexation,bloc_liens,bloc_responsabilites,bloc_titres,identifiant,norme_cat,patrimoine,type_notice,z001,z100,z100datepub,z101,z200,z801
CDMAIL,261445,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,NC,AFNOR,non_patrimonial,"Enregistrement sonore musical",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
CDMAIL,261465,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,NC,AFNOR,non_patrimonial,"Enregistrement sonore musical",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
CDMAIL,261485,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,NC,AFNOR,non_patrimonial,"Enregistrement sonore musical",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
CDMAIL,261508,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,NC,AFNOR,non_patrimonial,"Enregistrement sonore musical",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,261528,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Enregistrement sonore non musical",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Roubaix,261548,bloc_indexation_ko,bloc_liens_ko,bloc_responsabilites_ko,bloc_titres_ko,isbn,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Roubaix,261568,bloc_indexation_ok,bloc_liens_ok,bloc_responsabilites_ok,bloc_titres_ko,NC,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,261588,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,261608,bloc_indexation_ok,bloc_liens_ok,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Roubaix,261633,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,NC,AFNOR,non_patrimonial,"Enregistrement sonore musical",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Autre,261656,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,261677,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ok,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,261697,bloc_indexation_ok,bloc_liens_ok,bloc_responsabilites_ok,bloc_titres_ok,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Autre,261718,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Autre,261739,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ko,bloc_titres_ko,ean,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
